my_id,from_id,to_id,rx1,rx2,rx3,fpp1,fpp2,fpp3,skew1,skew2,skew3,fpp1_n,fpp2_n,skew1_n,skew2_n,rx1_raw,rx2_raw,rx3_raw,std,timestamp,tx1_n,rx1_n,tx2_n,rx2_n,tx3_n,rx3_n,range_n,bias_n,tx1_raw_n,rx1_raw_n,tx2_raw_n,rx2_raw_n,tx3_raw_n,rx3_raw_n,range_raw_n,bias_raw_n,gt_range_n,timestamp_n
11,10,1,-8112266.536246801,-7808088.951774737,-6269368.88579536,-81.4209976196289,-84.94660186767578,-85.27300262451172,-0.2542000114917755,1.176200032234192,1.321499943733215,-80.83070373535156,-80.39340209960938,-1.8727999925613403,1.567399978637695,-8112266.501402244,-7808088.582356773,-6269368.520883411,0.1965623386300604,0.49976205825805664,59305994.48481916,26605084.608997427,26909239.674994893,59610173.3231685,28447957.62371284,61148893.85685646,3.48574837788861,0.0405268852890308,59305994.40354567,26605084.525866386,26909239.59585337,59610173.16769331,28447957.544571318,61148893.69866787,3.474100112915039,0.02887862031546,3.445221492599579,0.37018299102783203
11,10,4,389876678.9721467,390183372.8111602,391722091.5956928,-81.86190032958984,-80.027099609375,-81.25440216064453,-0.4936000108718872,0.7832000255584717,0.9955000281333924,-82.87449645996094,-82.67279815673828,-1.4322999715805054,1.139899969100952,389876679.0927984,390183372.61493385,391722091.59655446,0.1001143656915824,0.914738655090332,457295064.9976396,56794762.55895994,57101435.204707175,457601761.7852796,58640153.15342513,459140481.2645663,3.571981478567837,0.0187901831825638,457295064.9163661,56794762.85494291,57101435.10867388,457601762.0380108,58640153.05739183,459140481.5360827,3.680200099945069,0.1270088045597956,3.553191295385273,0.7894971370697021
10,11,4,301807372.822518,302113191.184434,303651910.67068475,-82.96279907226562,-82.22319793701172,-82.62249755859375,0.1274999976158142,1.666100025177002,1.289800047874451,-80.35440063476562,-81.13829803466797,-0.7627000212669373,0.9229000210762024,301807373.1094752,302113191.3718199,303651910.916842,0.1794473528206833,1.6544771194458008,167172364.6738834,35739100.15521119,36044896.74316871,167478183.08457458,37583614.69188666,169016902.465833,3.227502453563545,0.0140226071069387,167172364.59585336,35739100.013146035,36044896.64713541,167478183.06164864,37583614.595853366,169016902.4658203,3.228100061416626,0.0146202149600198,3.213479846456606,1.4302468299865723
11,10,3,1376631524.9522524,1376935831.205041,1378474546.773669,-81.4197998046875,-81.9728012084961,-82.69599914550781,-0.8475000262260437,-1.4536999464035034,-1.2664999961853027,-82.70089721679688,-82.03970336914062,0.3528999984264374,-0.6025000214576721,1376631524.9868543,1376935831.3457785,1378474547.025241,0.1574727853956331,1.945509672164917,1376833814.99764,45786710.53617269,46090986.49001942,1377138122.1985192,47629704.43873737,1378676838.590598,4.728534788203618,0.1612640921594028,1376833814.9163666,45786710.81542969,46090986.39072516,1377138122.3551435,47629704.33944311,1378676838.7701576,4.820199966430664,0.2529292703864492,4.567270696044215,1.8166515827178955
10,11,5,908573730.042681,908877908.542639,910416630.765367,-81.63569641113281,-86.03569793701172,-87.61869812011719,-0.0706999972462654,1.991099953651428,2.845099925994873,-82.62999725341797,-82.4574966430664,-2.849800109863281,2.5071001052856445,908573730.124449,908877908.8885968,910416631.0315254,0.2003697847195665,2.327449083328247,773938534.5456781,61513963.9895955,61818110.11273441,774242712.8248472,63356828.06145236,775781434.434893,4.710173879603556,0.0126277556848526,773938534.4676481,61513964.54639924,61818109.788161054,774242713.0439954,63356827.736879006,775781434.9678235,4.877399921417236,0.1798537974985334,4.697546123918703,2.0853071212768555
10,11,3,1308563496.8102877,1308871490.393688,1310410206.4415345,-81.88249969482422,-81.57170104980469,-83.0447006225586,0.0251000002026557,-0.908900022506714,-0.8046000003814697,-83.11630249023438,-82.93409729003906,1.0299999713897705,-1.2273999452590942,1308563496.9388523,1308871490.4628658,1310410206.7370296,0.162826109443202,2.735588312149048,1106711787.7508066,44733391.445089765,45041355.07976301,1107019782.732474,46580073.02848096,1108558498.6509233,4.758278192674228,0.1272926942619019,1106711787.6727765,44733391.77058293,45041354.98046875,1107019783.0121944,46580072.9291867,1108558498.9577072,4.87470006942749,0.2437145710151647,4.6309854984123255,2.501310110092163
11,10,1,2462601779.414225,2462905854.519608,2464444574.512263,-81.69539642333984,-83.80619812011719,-85.68260192871094,-0.7031000256538391,0.7384999990463257,1.3308000564575195,-80.35469818115234,-80.3198013305664,-1.7843999862670898,1.874699950218201,2462601779.5034566,2462905854.8677893,2464444574.8666625,0.1957006058753148,3.044189929962158,2462804359.869436,10308448.305551104,10612500.892943611,2463108436.335119,12151218.84166156,2464647156.868807,3.5016492784611617,0.0563594878553646,2462804359.7881618,10308448.142027244,10612500.813802084,2463108436.169748,12151218.762520032,2464647156.700722,3.4763998985290527,0.0311101079232556,3.445289790605797,2.9161581993103027
11,10,4,2794374425.403028,2794678514.178682,2796217233.011472,-81.43190002441406,-79.77629852294922,-81.16819763183594,-0.5307999849319458,0.654699981212616,0.7171000242233276,-83.28150177001953,-83.05879974365234,-1.1548000574111938,1.4229999780654907,2794374425.440079,2794678513.981746,2796217232.9946666,0.0853676517143443,3.435911178588867,2794577132.305332,41499427.701757975,41803494.49957897,2794881223.1606174,43342212.44829692,2796419942.9372544,3.5509129688552994,-0.0023996654699249,2794577132.2240586,41499428.03798578,41803494.40354567,2794881223.4575324,43342212.35226362,2796419943.252955,3.671799898147583,0.1184872638223586,3.5533126343252244,3.305147647857666
11,10,0,3207362952.530064,3207667469.827663,3209206192.1697254,-81.3584976196289,-81.55460357666016,-82.59329986572266,-0.0222999993711709,2.8935999870300293,3.063999891281128,-82.13379669189453,-82.033203125,-3.439300060272217,3.648900032043457,3207362952.552208,3207667469.8893223,3209206192.407852,0.1481044011335267,3.8376240730285645,3207565794.1643057,50448073.8388096,50752556.911575854,3207870312.829657,52291274.860293806,3209409035.770056,5.1855772715562845,0.072425644569174,3207565794.083032,50448073.91826923,50752556.90354567,3207870312.985151,52291274.85226362,3209409035.832331,5.2368998527526855,0.123748225765575,5.113151626987111,3.717801094055176
10,11,4,2800525348.6272283,2800831099.94618,2802369819.357281,-82.60230255126953,-81.87090301513672,-83.0073013305664,0.0819000005722045,0.887499988079071,1.0533000230789185,-80.75589752197266,-80.591796875,-0.5307999849319458,0.7394000291824341,2800525348.870693,2800831100.0726166,2802369819.6489387,0.1756332847358811,4.225004196166992,2531456779.737987,47446819.65910802,47752548.986758456,2531762530.9433093,49291266.93547641,2533301250.293268,3.236676323001326,0.0234162514354183,2531456779.659957,47446819.583208136,47752548.89072516,2531762530.814929,49291266.83944311,2533301250.1878014,3.2314000129699707,0.0181399414040632,3.2132600715659074,3.989516258239746
